Sequence	BLAST	Pfam	Prosite	KEGG Pathway	Gene Ontology	Comments
ABO10751	Protein translocase subunit SecE; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Protein transport; Reference proteome; Translocation; Transmembrane; Transmembrane helix; Transport	SecE/Sec61-gamma subunits of protein translocation complex; Protein of unknown function (DUF3995); Protein of unknown function (DUF1634); DC-STAMP-like protein	Protein secE/sec61-gamma signature	Bacterial secretion system [acb03070]; Quorum sensing [acb02024]; Protein export [acb03060]	integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; P-P-bond-hydrolysis-driven protein transmembrane transporter activity [GO:0015450]; protein secretion [GO:0009306]; protein targeting [GO:0006605]; protein targeting [GO:0006605]; intracellular protein transport [GO:0006886]; membrane [GO:0016020]; integral component of membrane [GO:0016021]; protein targeting [GO:0006605]; intracellular protein transport [GO:0006886]; membrane [GO:0016020]	NULL
ABO10750	Elongation factor Tu; Cytoplasm; Elongation factor; GTP-binding; Nucleotide-binding; Protein biosynthesis	Elongation factor Tu GTP binding domain; Elongation factor Tu C-terminal domain; Elongation factor Tu domain 2; 50S ribosome-binding GTPase; RsgA GTPase; Lsm C-terminal	Translational (tr)-type guanine nucleotide-binding (G) domain signature; Translational (tr)-type guanine nucleotide-binding (G) domain profile	NULL	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]	NULL
ABO10753	50S ribosomal protein L11; Complete proteome; Methylation; Reference proteome; Ribonucleoprotein; Ribosomal protein; RNA-binding; rRNA-binding	Ribosomal protein L11, N-terminal domain; Ribosomal protein L11, RNA binding domain	Ribosomal protein L11 signature	Ribosome [acb03010]	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; ribosome [GO:0005840]	NULL
ABO10752	Transcription termination/antitermination protein NusG; Complete proteome; Reference proteome; Transcription; Transcription antitermination; Transcription regulation; Transcription termination	Transcription termination factor nusG; KOW motif	NULL	NULL	cytosol [GO:0005829]; DNA-templated transcription, termination [GO:0006353]; regulation of DNA-templated transcription, elongation [GO:0032784]; regulation of transcription, DNA-templated [GO:0006355]; transcription antitermination [GO:0031564]; regulation of transcription, DNA-templated [GO:0006355]	NULL
ABO10755	50S ribosomal protein L10; Complete proteome; Ribonucleoprotein; Ribosomal protein; RNA-binding; rRNA-binding	Ribosomal protein L10	Ribosomal protein L10 signature	Ribosome [acb03010]	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosome biogenesis [GO:0042254]; translation [GO:0006412]; ribosome biogenesis [GO:0042254]; intracellular [GO:0005622]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; intracellular [GO:0005622]; ribosome [GO:0005840]	NULL
ABO10754	50S ribosomal protein L1; Repressor; Ribonucleoprotein; Ribosomal protein; RNA-binding; rRNA-binding; Translation regulation; tRNA-binding	Ribosomal protein L1p/L10e family	Ribosomal protein L1 signature	Ribosome [acb03010]	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; regulation of translation [GO:0006417]; translation [GO:0006412]	NULL
ABO10757	DNA-directed RNA polymerase subunit beta; DNA-directed RNA polymerase; Nucleotidyltransferase; Transcription; Transferase	RNA polymerase Rpb2, domain 6; RNA polymerase beta subunit; RNA polymerase Rpb2, domain 3; RNA polymerase Rpb2, domain 7; RNA polymerase Rpb2, domain 2; RNA polymerase beta subunit external 1 domain; 7TM-HD extracellular; Helix-hairpin-helix motif	RNA polymerases beta chain signature	Pyrimidine metabolism [acb00240]; Metabolic pathways [acb01100]; Purine metabolism [acb00230]; RNA polymerase [acb03020]	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; transcription, DNA-templated [GO:0006351]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; transcription, DNA-templated [GO:0006351]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; transcription, DNA-templated [GO:0006351]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; transcription, DNA-templated [GO:0006351]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; transcription, DNA-templated [GO:0006351]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; transcription, DNA-templated [GO:0006351]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; transcription, DNA-templated [GO:0006351]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; transcription, DNA-templated [GO:0006351]	NULL
ABO10884	Proton/glutamate-aspartate symporter; Amino-acid transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Reference proteome; Symport; Transmembrane; Transmembrane helix; Transport	Sodium:dicarboxylate symporter family	Sodium	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; symporter activity [GO:0015293]; aspartate transport [GO:0015810]; dicarboxylic acid transport [GO:0006835]; L-glutamate transport [GO:0015813]; symporter activity [GO:0015293]; integral component of membrane [GO:0016021]	NULL
ABO10886	Lipid A biosynthesis lauroyltransferase; Acyltransferase; Cell inner membrane; Cell membrane; Complete proteome; Lipopolysaccharide biosynthesis; Membrane; Reference proteome; Transferase; Transmembrane; Transmembrane helix	Bacterial lipid A biosynthesis acyltransferase; Protein of unknown function (DUF2857)	NULL	Metabolic pathways [acb01100]; Lipopolysaccharide biosynthesis [acb00540]	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; transferase activity [GO:0016740]; transferase activity, transferring acyl groups [GO:0016746]; Kdo2-lipid A biosynthetic process [GO:0036104]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; transferase activity [GO:0016740]; integral component of membrane [GO:0016021]	NULL
ABO13220	Protein PilH; Complete proteome; Phosphoprotein; Reference proteome; Two-component regulatory system	Response regulator receiver domain; Flagellar regulatory protein FleQ	Response regulatory domain profile	Two-component system [acb02020]	intracellular [GO:0005622]; phosphorelay signal transduction system [GO:0000160]; phosphorelay signal transduction system [GO:0000160]; phosphorelay signal transduction system [GO:0000160]	NULL
ABO13095	Ribosomal RNA large subunit methyltransferase E; Cytoplasm; Methyltransferase; rRNA processing; S-adenosyl-L-methionine; Transferase	FtsJ-like methyltransferase; Methyltransferase domain; Domain of unknown function (DUF4800); Tetratricopeptide repeat	NULL	NULL	cytoplasm [GO:0005737]; methyltransferase activity [GO:0008168]; RNA methylation [GO:0001510]; rRNA processing [GO:0006364]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]	NULL
ABO12664	Lipase 4; Complete proteome; Hydrolase; Lipid degradation; Lipid droplet; Lipid metabolism; Membrane; Phosphoprotein; Reference proteome; Sporulation; Transmembrane; Transmembrane helix	Domain of unknown function (DUF3336); Patatin-like phospholipase	Patatin-like phospholipase (PNPLA) domain profile	NULL	integral component of membrane [GO:0016021]; lipid particle [GO:0005811]; calcium-independent phospholipase A2 activity [GO:0047499]; lysophosphatidic acid acyltransferase activity [GO:0042171]; sterol esterase activity [GO:0004771]; triglyceride lipase activity [GO:0004806]; cell budding [GO:0007114]; phospholipid metabolic process [GO:0006644]; sporulation resulting in formation of a cellular spore [GO:0030435]; triglyceride catabolic process [GO:0019433]; triglyceride mobilization [GO:0006642]; triglyceride lipase activity [GO:0004806]; lipid metabolic process [GO:0006629]; lipid metabolic process [GO:0006629]; lipid metabolic process [GO:0006629]	NULL
ABO13090	Bifunctional protein FolD; Amino-acid biosynthesis; Histidine biosynthesis; Hydrolase; Methionine biosynthesis; Multifunctional enzyme; NADP; One-carbon metabolism; Oxidoreductase; Purine biosynthesis	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain; Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain; short chain dehydrogenase; S-adenosyl-L-homocysteine hydrolase, NAD binding domain; Alanine dehydrogenase/PNT, C-terminal domain	Serine proteases, subtilase family, aspartic acid active site; Tetrahydrofolate dehydrogenase/cyclohydrolase signature 2	Metabolic pathways [acb01100]; Carbon metabolism [acb01200]; One carbon pool by folate [acb00670]; Microbial metabolism in diverse environments [acb01120]	methenyltetrahydrofolate cyclohydrolase activity [GO:0004477]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; folic acid-containing compound biosynthetic process [GO:0009396]; histidine biosynthetic process [GO:0000105]; methionine biosynthetic process [GO:0009086]; purine nucleotide biosynthetic process [GO:0006164]; tetrahydrofolate interconversion [GO:0035999]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; oxidation-reduction process [GO:0055114]; catalytic activity [GO:0003824]; oxidation-reduction process [GO:0055114]	NULL
ABO11039	Nucleotide-binding protein ACICU_00591; ATP-binding; GTP-binding; Nucleotide-binding	P-loop ATPase protein family; AAA domain; AAA ATPase domain; AAA domain; P-loop containing region of AAA domain; KaiC; Zeta toxin; Rad17 cell cycle checkpoint protein; Dephospho-CoA kinase; Shikimate kinase	NULL	NULL	ATP binding [GO:0005524]; GTP binding [GO:0005525]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; dephospho-CoA kinase activity [GO:0004140]; ATP binding [GO:0005524]; coenzyme A biosynthetic process [GO:0015937]	NULL
ABO11038	Pantothenate synthetase; ATP-binding; Cytoplasm; Ligase; Nucleotide-binding; Pantothenate biosynthesis	Pantoate-beta-alanine ligase; Cytidylyltransferase-like	NULL	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Pantothenate and CoA biosynthesis [acb00770]; beta-Alanine metabolism [acb00410]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; pantoate-beta-alanine ligase activity [GO:0004592]; pantothenate biosynthetic process [GO:0015940]; pantoate-beta-alanine ligase activity [GO:0004592]; pantothenate biosynthetic process [GO:0015940]; catalytic activity [GO:0003824]; biosynthetic process [GO:0009058]	NULL
ABO13293	3-methylmercaptopropionyl-CoA dehydrogenase; Complete proteome; FAD; Flavoprotein; Oxidoreductase; Reference proteome	Acetyl-CoA dehydrogenase C-terminal like; Acyl-CoA dehydrogenase, C-terminal domain; Acyl-CoA dehydrogenase, middle domain; Acyl-CoA dehydrogenase, N-terminal domain; Acyl-CoA dehydrogenase N terminal; Acyl-CoA dehydrogenase, C-terminal domain	NULL	NULL	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor [GO:0052890]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; oxidation-reduction process [GO:0055114]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; oxidation-reduction process [GO:0055114]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; flavin adenine dinucleotide binding [GO:0050660]; oxidation-reduction process [GO:0055114]	NULL
ABO11034	Poly(A) polymerase I; ATP-binding; Complete proteome; mRNA processing; Nucleotide-binding; Reference proteome; RNA-binding; Transcription; Transferase	Poly A polymerase head domain; Polymerase A arginine-rich C-terminus; Probable RNA and SrmB- binding site of polymerase A; Domain of unknown function (DUF4936)	NULL	RNA degradation [acb03018]	ATP binding [GO:0005524]; polynucleotide adenylyltransferase activity [GO:0004652]; RNA binding [GO:0003723]; mRNA polyadenylation [GO:0006378]; transcription, DNA-templated [GO:0006351]; RNA binding [GO:0003723]; nucleotidyltransferase activity [GO:0016779]; RNA processing [GO:0006396]	NULL
ABO13295	Nickel/cobalt homeostasis protein RcnB; Complete proteome; Periplasm; Signal	Nickel/cobalt transporter regulator	NULL	NULL	periplasmic space [GO:0042597]	NULL
ABO13294	Protein PsiE homolog; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	Phosphate-starvation-inducible E; Family of unknown function (DUF5467)	Prokaryotic membrane lipoprotein lipid attachment site profile	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cellular response to phosphate starvation [GO:0016036]	NULL
ABO11965	Serine/threonine transporter SstT; Amino-acid transport; Cell inner membrane; Cell membrane; Membrane; Symport; Transmembrane; Transmembrane helix; Transport	Sodium:dicarboxylate symporter family; Iron dependent repressor, N-terminal DNA binding domain	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; symporter activity [GO:0015293]; serine transport [GO:0032329]; threonine transport [GO:0015826]; symporter activity [GO:0015293]; integral component of membrane [GO:0016021]; DNA binding [GO:0003677]	NULL
ABO11967	Uncharacterized HTH-type transcriptional regulator YxaF; 3D-structure; Complete proteome; DNA-binding; Reference proteome; Repressor; Transcription; Transcription regulation	Bacterial regulatory proteins, tetR family; Helix-turn-helix domain of resolvase; Helix-turn-helix of insertion element transposase; Arenavirus cap snatching domain	TetR-type HTH domain profile	NULL	DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; DNA binding [GO:0003677]; recombinase activity [GO:0000150]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]; DNA binding [GO:0003677]	NULL
ABO11966	Biofilm growth-associated repressor; Complete proteome; DNA-binding; Reference proteome; Repressor; Transcription; Transcription regulation	Bacterial regulatory protein, arsR family; Helix-turn-helix domain; HxlR-like helix-turn-helix; MarR family; Transcriptional regulator; Winged helix DNA-binding domain; CRISPR-associated protein (Cas_Csy1); Sugar-specific transcriptional regulator TrmB; RsgA GTPase; Arginine repressor, DNA binding domain; TFIIE alpha subunit; MarR family; Bacterial regulatory helix-turn-helix protein, lysR family	ArsR-type HTH domain profile	NULL	DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription, DNA-templated [GO:0006351]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; arginine metabolic process [GO:0006525]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]	NULL
ABO10522	Putative aliphatic sulfonates transport permease protein SsuC; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix; Transport	Binding-protein-dependent transport system inner membrane component	ABC transporter integral membrane type-1 domain profile	ABC transporters [acb02010]; Sulfur metabolism [acb00920]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; sulfur compound metabolic process [GO:0006790]; transport [GO:0006810]; transport [GO:0006810]; membrane [GO:0016020]; transport [GO:0006810]; membrane [GO:0016020]	NULL
ABO10521	Aliphatic sulfonates import ATP-binding protein SsuB; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Membrane; Nucleotide-binding; Reference proteome; Transport	ABC transporter; AAA domain; AAA ATPase domain; RecF/RecN/SMC N terminal domain; ATPase family associated with various cellular activities (AAA); AAA domain, putative AbiEii toxin, Type IV TA system; RsgA GTPase; 50S ribosome-binding GTPase; P-loop containing region of AAA domain; AAA domain; NB-ARC domain; Predicted ATPase of the ABC class; NACHT domain; AAA domain; ATPase domain predominantly from Archaea; G-protein alpha subunit; AAA domain; AAA domain; KaiC; AAA ATPase domain; AAA domain; Rad17 cell cycle checkpoint protein; Molybdopterin guanine dinucleotide synthesis protein B; Phosphoribulokinase / Uridine kinase family; AAA domain (dynein-related subfamily); AAA domain; MarR family; AAA domain; RNA helicase; AAA domain; Domain of unknown function DUF87	ATP-binding cassette, ABC transporter-type domain profile	ABC transporters [acb02010]; Sulfur metabolism [acb00920]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; transporter activity [GO:0005215]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; ATP binding [GO:0005524]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; GTPase activity [GO:0003924]; signal transducer activity [GO:0004871]; guanyl nucleotide binding [GO:0019001]; G-protein beta/gamma-subunit complex binding [GO:0031683]; G-protein coupled receptor signaling pathway [GO:0007186]; GTP binding [GO:0005525]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; metabolic process [GO:0008152]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]	NULL
ABS90125	Putative glycosyltransferase ORF300; Complete proteome; Glycosyltransferase; Reference proteome; Transferase	Phage tail assembly chaperone, TAC	NULL	NULL	transferase activity, transferring glycosyl groups [GO:0016757]	NULL
ABO11484	; Complete proteome; Hydrolase; Magnesium; Manganese; Metal-binding; NAD; Reference proteome; Zinc	NUDIX domain; NADH pyrophosphatase zinc ribbon domain; RecR protein; Double zinc ribbon; Zinc-ribbon containing domain; Hydrogenase/urease nickel incorporation, metallochaperone, hypA; NADH pyrophosphatase-like rudimentary NUDIX domain; Putative transposase DNA-binding domain; zinc-ribbon domain; TfuA-like protein; Ring finger domain; Nudix N-terminal; Uncharacterised protein family UPF0547	Nudix box signature; Nudix hydrolase domain profile	Metabolic pathways [acb01100]; Nicotinate and nicotinamide metabolism [acb00760]	metal ion binding [GO:0046872]; NAD+ diphosphatase activity [GO:0000210]; hydrolase activity [GO:0016787]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nickel cation binding [GO:0016151]; cellular protein modification process [GO:0006464]; hydrolase activity [GO:0016787]; hydrolase activity [GO:0016787]; hydrolase activity [GO:0016787]	NULL
ABO10529	Uncharacterized oxidoreductase YciK; 3D-structure; Complete proteome; Oxidoreductase; Reference proteome	short chain dehydrogenase; Enoyl-(Acyl carrier protein) reductase; KR domain; Protein of unknown function (DUF2378); Fungal family of unknown function (DUF1776)	Short-chain dehydrogenases/reductases family signature	NULL	intracellular [GO:0005622]; oxidoreductase activity [GO:0016491]; organic substance catabolic process [GO:1901575]; oxidoreductase activity [GO:0016491]	NULL
ABO13549	D-3-phosphoglycerate dehydrogenase; Amino-acid biosynthesis; Complete proteome; NAD; Oxidoreductase; Reference proteome; Serine biosynthesis	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain; D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain; Acetohydroxy acid isomeroreductase, NADPH-binding domain; ACT domain; NAD binding domain of 6-phosphogluconate dehydrogenase; S-adenosyl-L-homocysteine hydrolase, NAD binding domain	D-isomer specific 2-hydroxyacid dehydrogenases NAD-binding signature; FGGY family of carbohydrate kinases signature 2; ACT domain profile	Metabolic pathways [acb01100]; Methane metabolism [acb00680]; Glycine, serine and threonine metabolism [acb00260]; Microbial metabolism in diverse environments [acb01120]; Biosynthesis of antibiotics [acb01130]; Carbon metabolism [acb01200]; Biosynthesis of amino acids [acb01230]	Gram-negative-bacterium-type cell wall [GO:0009276]; integral component of membrane [GO:0016021]; amino acid binding [GO:0016597]; NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]; L-serine biosynthetic process [GO:0006564]; NAD binding [GO:0051287]; oxidation-reduction process [GO:0055114]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; NAD binding [GO:0051287]; metabolic process [GO:0008152]; oxidation-reduction process [GO:0055114]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]; oxidation-reduction process [GO:0055114]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; carbohydrate metabolic process [GO:0005975]	NULL
ABO12106	NULL	YARHG domain	NULL	NULL	NULL	NULL
ABO11482	Uncharacterized protein HI_1658; Complete proteome; Periplasm; Reference proteome; Repeat; Signal	BON domain	BON domain profile; Prokaryotic membrane lipoprotein lipid attachment site profile	NULL	periplasmic space [GO:0042597]	NULL
ABO12105	Uncharacterized HIT-like protein MJ0866; Complete proteome; Reference proteome	HIT domain; Scavenger mRNA decapping enzyme C-term binding	HIT domain profile	NULL	catalytic activity [GO:0003824]; catalytic activity [GO:0003824]	NULL
ABO13543	Multidrug transporter MdfA; Antibiotic resistance; Cell inner membrane; Cell membrane; Membrane; Transmembrane; Transmembrane helix; Transport	Major Facilitator Superfamily; Sugar (and other) transporter; Aphid transmission protein; Organic Anion Transporter Polypeptide (OATP) family	Sugar transport proteins signature 1; Major facilitator superfamily (MFS) profile	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; response to antibiotic [GO:0046677]; transmembrane transport [GO:0055085]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]; transmission of virus [GO:0019089]; transporter activity [GO:0005215]; transport [GO:0006810]; membrane [GO:0016020]; transporter activity [GO:0005215]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]	Potential multridrug transporter
ABO13620	Osmolarity sensor protein EnvZ; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Reference proteome; Transferase; Transmembrane; Transmembrane helix; Two-component regulatory system	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase; His Kinase A (phospho-acceptor) domain; HAMP domain; Histidine kinase-like ATPase domain; GHKL domain; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase; Sigma factor regulator N-terminal; Putative Sin3 binding protein	Histidine kinase domain profile; HAMP domain profile	Two-component system [acb02020]	integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; phosphorelay sensor kinase activity [GO:0000155]; signal transduction [GO:0007165]; signal transducer activity [GO:0004871]; signal transduction [GO:0007165]; integral component of membrane [GO:0016021]; signal transducer activity [GO:0004871]; signal transduction [GO:0007165]; integral component of membrane [GO:0016021]	NULL
ABO12311	Protocatechuate 3,4-dioxygenase alpha chain; 3D-structure; Aromatic hydrocarbons catabolism; Complete proteome; Dioxygenase; Direct protein sequencing; Iron; Oxidoreductase; Reference proteome	Dioxygenase	Intradiol ring-cleavage dioxygenases signature	Metabolic pathways [acb01100]; Benzoate degradation [acb00362]; Microbial metabolism in diverse environments [acb01120]; Degradation of aromatic compounds [acb01220]	ferric iron binding [GO:0008199]; protocatechuate 3,4-dioxygenase activity [GO:0018578]; beta-ketoadipate pathway [GO:0042952]; catalytic activity [GO:0003824]; ferric iron binding [GO:0008199]; cellular aromatic compound metabolic process [GO:0006725]; oxidation-reduction process [GO:0055114]; catalytic activity [GO:0003824]; ferric iron binding [GO:0008199]; cellular aromatic compound metabolic process [GO:0006725]; oxidation-reduction process [GO:0055114]	NULL
ABO13622	Acetyltransferase YpeA; Acyltransferase; Complete proteome; Transferase	Acetyltransferase (GNAT) family; Acetyltransferase (GNAT) domain; Acetyltransferase (GNAT) domain; FR47-like protein; Acetyltransferase (GNAT) domain; Acetyltransferase (GNAT) domain; Acetyltransferase (GNAT) domain; Acetyltransferase (GNAT) domain; Acetyltransferase (GNAT) domain	Gcn5-related N-acetyltransferase (GNAT) domain profile	NULL	N-acetyltransferase activity [GO:0008080]; N-acetyltransferase activity [GO:0008080]; N-acetyltransferase activity [GO:0008080]; N-acetyltransferase activity [GO:0008080]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]; N-acetyltransferase activity [GO:0008080]; N-acetyltransferase activity [GO:0008080]; N-acetyltransferase activity [GO:0008080]	NULL
ABO12716	Ferredoxin--NADP reductase; 3D-structure; FAD; Flavoprotein; NADP; Oxidoreductase	Oxidoreductase FAD-binding domain; Oxidoreductase NAD-binding domain; Ferric reductase NAD binding domain	Ferredoxin reductase-type FAD binding domain profile	NULL	ferredoxin-NADP+ reductase activity [GO:0004324]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]	NULL
ABO11248	Ribosomal large subunit pseudouridine synthase B; Complete proteome; Isomerase; Reference proteome; RNA-binding; rRNA processing	RNA pseudouridylate synthase; S4 domain; S4 domain; Domain of unknown function (DUF4890)	Rsu family of pseudouridine synthase signature; S4 RNA-binding domain profile	NULL	cytosol [GO:0005829]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]; RNA binding [GO:0003723]; pseudouridine synthase activity [GO:0009982]; pseudouridine synthesis [GO:0001522]; RNA modification [GO:0009451]; RNA binding [GO:0003723]; RNA binding [GO:0003723]; intramolecular transferase activity [GO:0016866]; pseudouridine synthesis [GO:0001522]; RNA modification [GO:0009451]; RNA binding [GO:0003723]	NULL
ABO12844	Lactoylglutathione lyase; Complete proteome; Lyase; Metal-binding; Nickel; Reference proteome	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily; Glyoxalase-like domain; CppA N-terminal	Glyoxalase I signature 1; Glyoxalase I signature 2; Vicinal oxygen chelate (VOC) domain profile	Pyruvate metabolism [acb00620]	lactoylglutathione lyase activity [GO:0004462]; metal ion binding [GO:0046872]; lactoylglutathione lyase activity [GO:0004462]; metal ion binding [GO:0046872]; lactoylglutathione lyase activity [GO:0004462]; metal ion binding [GO:0046872]	NULL
ABO11241	Trehalose-6-phosphate synthase; Complete proteome; Glycosyltransferase; Reference proteome; Transferase	Glycosyltransferase family 20	NULL	Metabolic pathways [acb01100]; Starch and sucrose metabolism [acb00500]	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]; trehalose biosynthetic process [GO:0005992]; catalytic activity [GO:0003824]; trehalose biosynthetic process [GO:0005992]	NULL
ABO10620	Uncharacterized protein YmaD; Complete proteome; Reference proteome	OsmC-like protein	NULL	NULL	NULL	NULL
